2025-12-15T20:11:20.376243100 | RAM (MB): 20 | CPU (%): 19,20
2025-12-15T20:11:21.363933700 | RAM (MB): 21 | CPU (%): 32,42
2025-12-15T20:11:22.361699100 | RAM (MB): 21 | CPU (%): 7,48
2025-12-15T20:11:23.373282600 | RAM (MB): 22 | CPU (%): 7,92
2025-12-15T20:11:24.363289500 | RAM (MB): 22 | CPU (%): 2,73
2025-12-15T20:11:25.362912 | RAM (MB): 23 | CPU (%): 5,43
2025-12-15T20:11:26.369142600 | RAM (MB): 24 | CPU (%): 7,22
2025-12-15T20:11:27.375638500 | RAM (MB): 24 | CPU (%): 7,24
2025-12-15T20:11:28.373035900 | RAM (MB): 24 | CPU (%): 22,32
2025-12-15T20:11:29.366237700 | RAM (MB): 24 | CPU (%): 9,15
2025-12-15T20:11:30.364074400 | RAM (MB): 25 | CPU (%): 11,79
2025-12-15T20:11:31.367488200 | RAM (MB): 27 | CPU (%): 10,33
2025-12-15T20:11:32.370679 | RAM (MB): 27 | CPU (%): 20,83
2025-12-15T20:11:33.364589900 | RAM (MB): 28 | CPU (%): 20,74
2025-12-15T20:11:34.362149500 | RAM (MB): 28 | CPU (%): 8,50
2025-12-15T20:11:35.363538600 | RAM (MB): 28 | CPU (%): 6,90
2025-12-15T20:11:36.375823200 | RAM (MB): 29 | CPU (%): 7,13
2025-12-15T20:11:37.362563100 | RAM (MB): 29 | CPU (%): 9,08
2025-12-15T20:11:38.369991400 | RAM (MB): 29 | CPU (%): 19,12
2025-12-15T20:11:39.367737700 | RAM (MB): 29 | CPU (%): 12,02
2025-12-15T20:11:40.373496100 | RAM (MB): 30 | CPU (%): 9,63
2025-12-15T20:11:41.363324900 | RAM (MB): 30 | CPU (%): 7,00
2025-12-15T20:11:42.370927300 | RAM (MB): 31 | CPU (%): 1,27
2025-12-15T20:11:43.366559800 | RAM (MB): 31 | CPU (%): 3,88
2025-12-15T20:11:44.361912500 | RAM (MB): 32 | CPU (%): 1,76
2025-12-15T20:11:45.368932800 | RAM (MB): 32 | CPU (%): 8,07
2025-12-15T20:11:46.366700100 | RAM (MB): 32 | CPU (%): 8,13
2025-12-15T20:11:47.363729500 | RAM (MB): 32 | CPU (%): 10,54
2025-12-15T20:11:48.377894900 | RAM (MB): 32 | CPU (%): 23,35
2025-12-15T20:11:49.367660500 | RAM (MB): 33 | CPU (%): 4,23
2025-12-15T20:11:50.366624200 | RAM (MB): 33 | CPU (%): 1,20
2025-12-15T20:11:51.362148100 | RAM (MB): 34 | CPU (%): 7,66
2025-12-15T20:11:52.372737600 | RAM (MB): 34 | CPU (%): 5,69
2025-12-15T20:11:53.378730800 | RAM (MB): 34 | CPU (%): 10,75
2025-12-15T20:11:54.363945600 | RAM (MB): 35 | CPU (%): 16,13
2025-12-15T20:11:55.364494700 | RAM (MB): 35 | CPU (%): 6,56
2025-12-15T20:11:56.373354200 | RAM (MB): 35 | CPU (%): 3,85
2025-12-15T20:11:57.371364200 | RAM (MB): 37 | CPU (%): 5,15
2025-12-15T20:11:58.367051700 | RAM (MB): 37 | CPU (%): 44,94
2025-12-15T20:11:59.362072800 | RAM (MB): 38 | CPU (%): 12,19
2025-12-15T20:12:00.363752 | RAM (MB): 38 | CPU (%): 4,59
2025-12-15T20:12:01.364396400 | RAM (MB): 38 | CPU (%): 8,13
2025-12-15T20:12:02.381428900 | RAM (MB): 38 | CPU (%): 6,41
2025-12-15T20:12:03.365961700 | RAM (MB): 39 | CPU (%): 7,95
2025-12-15T20:12:04.372597300 | RAM (MB): 39 | CPU (%): 7,26
2025-12-15T20:12:05.368403800 | RAM (MB): 16 | CPU (%): 8,47
2025-12-15T20:12:06.377988300 | RAM (MB): 17 | CPU (%): 19,78
2025-12-15T20:12:07.363098900 | RAM (MB): 17 | CPU (%): 4,57
2025-12-15T20:12:08.372920 | RAM (MB): 18 | CPU (%): 4,97
2025-12-15T20:12:09.372209700 | RAM (MB): 19 | CPU (%): 2,93
2025-12-15T20:12:10.361827900 | RAM (MB): 19 | CPU (%): 5,92
2025-12-15T20:12:11.362215100 | RAM (MB): 20 | CPU (%): 6,55
2025-12-15T20:12:12.362317500 | RAM (MB): 21 | CPU (%): 21,49
2025-12-15T20:12:13.376931500 | RAM (MB): 21 | CPU (%): 18,25
2025-12-15T20:12:14.372371200 | RAM (MB): 21 | CPU (%): 6,34
2025-12-15T20:12:15.373506700 | RAM (MB): 21 | CPU (%): 4,80
2025-12-15T20:12:16.365030700 | RAM (MB): 23 | CPU (%): 8,08
2025-12-15T20:12:17.362824100 | RAM (MB): 24 | CPU (%): 48,45
2025-12-15T20:12:18.372084900 | RAM (MB): 24 | CPU (%): 6,25
2025-12-15T20:12:19.371579 | RAM (MB): 24 | CPU (%): 6,95
2025-12-15T20:12:20.364402600 | RAM (MB): 25 | CPU (%): 4,25
2025-12-15T20:12:21.372645700 | RAM (MB): 25 | CPU (%): 6,24
2025-12-15T20:12:22.369951500 | RAM (MB): 26 | CPU (%): 7,87
2025-12-15T20:12:23.363817 | RAM (MB): 26 | CPU (%): 8,51
2025-12-15T20:12:24.361981500 | RAM (MB): 26 | CPU (%): 16,64
2025-12-15T20:12:25.363623500 | RAM (MB): 27 | CPU (%): 17,19
2025-12-15T20:12:26.371409900 | RAM (MB): 27 | CPU (%): 2,84
2025-12-15T20:12:27.363053400 | RAM (MB): 27 | CPU (%): 5,85
2025-12-15T20:12:28.367763600 | RAM (MB): 28 | CPU (%): 2,92
2025-12-15T20:12:29.367495500 | RAM (MB): 28 | CPU (%): 2,97
2025-12-15T20:12:30.362086900 | RAM (MB): 29 | CPU (%): 6,39
2025-12-15T20:12:31.368288900 | RAM (MB): 30 | CPU (%): 20,80
2025-12-15T20:12:32.363537100 | RAM (MB): 30 | CPU (%): 17,32
2025-12-15T20:12:33.367079200 | RAM (MB): 30 | CPU (%): 5,54
2025-12-15T20:12:34.372380700 | RAM (MB): 30 | CPU (%): 6,87
2025-12-15T20:12:35.370550300 | RAM (MB): 30 | CPU (%): 2,16
2025-12-15T20:12:36.373902600 | RAM (MB): 30 | CPU (%): 3,19
2025-12-15T20:12:37.365693800 | RAM (MB): 33 | CPU (%): 3,37
2025-12-15T20:12:38.364426700 | RAM (MB): 34 | CPU (%): 40,94
2025-12-15T20:12:39.366865700 | RAM (MB): 34 | CPU (%): 4,79
2025-12-15T20:12:40.371520400 | RAM (MB): 34 | CPU (%): 6,55
2025-12-15T20:12:41.362205400 | RAM (MB): 34 | CPU (%): 3,79
2025-12-15T20:12:42.363996500 | RAM (MB): 34 | CPU (%): 8,76
2025-12-15T20:12:43.363317200 | RAM (MB): 35 | CPU (%): 10,62
2025-12-15T20:12:44.365016300 | RAM (MB): 35 | CPU (%): 3,55
2025-12-15T20:12:45.363141900 | RAM (MB): 35 | CPU (%): 10,51
2025-12-15T20:12:46.365517900 | RAM (MB): 35 | CPU (%): 9,98
2025-12-15T20:12:47.369280400 | RAM (MB): 36 | CPU (%): 9,10
2025-12-15T20:12:48.362606100 | RAM (MB): 36 | CPU (%): 6,24
2025-12-15T20:12:49.365644400 | RAM (MB): 37 | CPU (%): 1,21
2025-12-15T20:12:50.366717800 | RAM (MB): 37 | CPU (%): 4,01
2025-12-15T20:12:51.367761 | RAM (MB): 37 | CPU (%): 5,57
2025-12-15T20:12:52.361806600 | RAM (MB): 38 | CPU (%): 8,57
2025-12-15T20:12:53.361864600 | RAM (MB): 39 | CPU (%): 20,32
2025-12-15T20:12:54.363523500 | RAM (MB): 39 | CPU (%): 23,43
2025-12-15T20:12:55.377256300 | RAM (MB): 39 | CPU (%): 21,14
2025-12-15T20:12:56.362163500 | RAM (MB): 39 | CPU (%): 5,61
2025-12-15T20:12:57.366668900 | RAM (MB): 39 | CPU (%): 3,56
2025-12-15T20:12:58.375177200 | RAM (MB): 42 | CPU (%): 7,94
2025-12-15T20:12:59.367919100 | RAM (MB): 42 | CPU (%): 26,94
2025-12-15T20:13:00.366115900 | RAM (MB): 17 | CPU (%): 20,78
2025-12-15T20:13:01.361995 | RAM (MB): 17 | CPU (%): 4,27
2025-12-15T20:13:02.375644800 | RAM (MB): 17 | CPU (%): 4,78
2025-12-15T20:13:03.375093800 | RAM (MB): 17 | CPU (%): 7,91
2025-12-15T20:13:04.365479900 | RAM (MB): 18 | CPU (%): 4,16
2025-12-15T20:13:05.365408900 | RAM (MB): 18 | CPU (%): 9,89
2025-12-15T20:13:06.362823 | RAM (MB): 18 | CPU (%): 14,36
2025-12-15T20:13:07.364517800 | RAM (MB): 19 | CPU (%): 13,82
2025-12-15T20:13:08.370547100 | RAM (MB): 19 | CPU (%): 6,94
2025-12-15T20:13:09.364946800 | RAM (MB): 20 | CPU (%): 4,67
2025-12-15T20:13:10.367118400 | RAM (MB): 20 | CPU (%): 7,75
2025-12-15T20:13:11.365910 | RAM (MB): 21 | CPU (%): 1,70
2025-12-15T20:13:12.363609500 | RAM (MB): 21 | CPU (%): 6,56
2025-12-15T20:13:13.375921 | RAM (MB): 21 | CPU (%): 6,10
2025-12-15T20:13:14.362252800 | RAM (MB): 21 | CPU (%): 6,93
2025-12-15T20:13:15.364708800 | RAM (MB): 21 | CPU (%): 19,08
2025-12-15T20:13:16.364851400 | RAM (MB): 22 | CPU (%): 4,18
2025-12-15T20:13:17.376085300 | RAM (MB): 22 | CPU (%): 5,62
2025-12-15T20:13:18.364126400 | RAM (MB): 22 | CPU (%): 6,17
2025-12-15T20:13:19.372890100 | RAM (MB): 23 | CPU (%): 5,90
2025-12-15T20:13:20.374813800 | RAM (MB): 23 | CPU (%): 13,97
2025-12-15T20:13:21.363499100 | RAM (MB): 23 | CPU (%): 12,68
2025-12-15T20:13:22.363510800 | RAM (MB): 24 | CPU (%): 6,51
2025-12-15T20:13:23.375373800 | RAM (MB): 24 | CPU (%): 4,65
