2025-11-28T18:58:15.941399100 | RAM (MB): 38 | CPU Load: -1.0
2025-11-28T18:58:17.935674900 | RAM (MB): 38 | CPU Load: -1.0
2025-11-28T18:58:19.930566100 | RAM (MB): 38 | CPU Load: -1.0
2025-11-28T18:58:21.929437300 | RAM (MB): 39 | CPU Load: -1.0
2025-11-28T18:58:23.941023900 | RAM (MB): 40 | CPU Load: -1.0
2025-11-28T18:58:25.937457400 | RAM (MB): 40 | CPU Load: -1.0
2025-11-28T18:58:27.945232600 | RAM (MB): 40 | CPU Load: -1.0
2025-11-28T18:58:29.945640300 | RAM (MB): 41 | CPU Load: -1.0
2025-11-28T18:58:31.947219900 | RAM (MB): 42 | CPU Load: -1.0
2025-11-28T18:58:33.935596300 | RAM (MB): 42 | CPU Load: -1.0
2025-11-28T18:58:35.939953600 | RAM (MB): 17 | CPU Load: -1.0
2025-11-28T18:58:37.955905800 | RAM (MB): 18 | CPU Load: -1.0
2025-11-28T18:58:39.943769 | RAM (MB): 18 | CPU Load: -1.0
2025-11-28T18:58:41.935485700 | RAM (MB): 18 | CPU Load: -1.0
2025-11-28T18:58:43.944511700 | RAM (MB): 19 | CPU Load: -1.0
2025-11-28T18:58:45.945513600 | RAM (MB): 20 | CPU Load: -1.0
2025-11-28T18:58:47.935682300 | RAM (MB): 20 | CPU Load: -1.0
2025-11-28T18:58:49.950826400 | RAM (MB): 21 | CPU Load: -1.0
2025-11-28T18:58:51.930582900 | RAM (MB): 21 | CPU Load: -1.0
2025-11-28T18:58:53.944294200 | RAM (MB): 22 | CPU Load: -1.0
2025-11-28T18:58:55.945357500 | RAM (MB): 23 | CPU Load: -1.0
2025-11-28T18:58:57.945499800 | RAM (MB): 23 | CPU Load: -1.0
2025-11-28T18:58:59.945564 | RAM (MB): 24 | CPU Load: -1.0
2025-11-28T18:59:01.935375200 | RAM (MB): 24 | CPU Load: -1.0
2025-11-28T18:59:03.935620400 | RAM (MB): 25 | CPU Load: -1.0
2025-11-28T18:59:05.945435800 | RAM (MB): 25 | CPU Load: -1.0
2025-11-28T18:59:07.935454200 | RAM (MB): 26 | CPU Load: -1.0
2025-11-28T18:59:09.945555400 | RAM (MB): 26 | CPU Load: -1.0
2025-11-28T18:59:11.930466100 | RAM (MB): 27 | CPU Load: -1.0
2025-11-28T18:59:13.945342700 | RAM (MB): 27 | CPU Load: -1.0
2025-11-28T18:59:15.935279400 | RAM (MB): 28 | CPU Load: -1.0
2025-11-28T18:59:17.939273 | RAM (MB): 29 | CPU Load: -1.0
2025-11-28T18:59:19.938654 | RAM (MB): 29 | CPU Load: -1.0
2025-11-28T18:59:21.945496900 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T18:59:23.939721200 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T18:59:25.946531 | RAM (MB): 31 | CPU Load: -1.0
2025-11-28T18:59:27.945386200 | RAM (MB): 31 | CPU Load: -1.0
2025-11-28T18:59:29.935546700 | RAM (MB): 32 | CPU Load: -1.0
2025-11-28T18:59:31.935964600 | RAM (MB): 32 | CPU Load: -1.0
2025-11-28T18:59:33.945300 | RAM (MB): 33 | CPU Load: -1.0
2025-11-28T18:59:35.939147 | RAM (MB): 33 | CPU Load: -1.0
2025-11-28T18:59:37.934403400 | RAM (MB): 34 | CPU Load: -1.0
2025-11-28T18:59:39.955475400 | RAM (MB): 35 | CPU Load: -1.0
2025-11-28T18:59:41.945582900 | RAM (MB): 35 | CPU Load: -1.0
2025-11-28T18:59:43.945777200 | RAM (MB): 35 | CPU Load: -1.0
2025-11-28T18:59:45.947596400 | RAM (MB): 36 | CPU Load: -1.0
2025-11-28T18:59:47.935632100 | RAM (MB): 37 | CPU Load: -1.0
2025-11-28T18:59:49.929432300 | RAM (MB): 37 | CPU Load: -1.0
2025-11-28T18:59:51.932126300 | RAM (MB): 38 | CPU Load: -1.0
2025-11-28T18:59:53.935346 | RAM (MB): 38 | CPU Load: -1.0
2025-11-28T18:59:55.941006700 | RAM (MB): 39 | CPU Load: -1.0
2025-11-28T18:59:57.945290200 | RAM (MB): 39 | CPU Load: -1.0
2025-11-28T18:59:59.946424700 | RAM (MB): 40 | CPU Load: -1.0
2025-11-28T19:00:01.935448700 | RAM (MB): 40 | CPU Load: -1.0
2025-11-28T19:00:03.935352700 | RAM (MB): 41 | CPU Load: -1.0
2025-11-28T19:00:05.936677700 | RAM (MB): 41 | CPU Load: -1.0
2025-11-28T19:00:07.935602 | RAM (MB): 42 | CPU Load: -1.0
2025-11-28T19:00:09.935360100 | RAM (MB): 17 | CPU Load: -1.0
2025-11-28T19:00:11.945448700 | RAM (MB): 18 | CPU Load: -1.0
2025-11-28T19:00:13.935671200 | RAM (MB): 18 | CPU Load: -1.0
2025-11-28T19:00:15.936354700 | RAM (MB): 19 | CPU Load: -1.0
2025-11-28T19:00:17.945624300 | RAM (MB): 19 | CPU Load: -1.0
2025-11-28T19:00:19.935967300 | RAM (MB): 20 | CPU Load: -1.0
2025-11-28T19:00:21.945588700 | RAM (MB): 20 | CPU Load: -1.0
2025-11-28T19:00:23.945602400 | RAM (MB): 21 | CPU Load: -1.0
2025-11-28T19:00:25.945344600 | RAM (MB): 21 | CPU Load: -1.0
2025-11-28T19:00:27.943180200 | RAM (MB): 22 | CPU Load: -1.0
2025-11-28T19:00:29.939275500 | RAM (MB): 22 | CPU Load: -1.0
2025-11-28T19:00:31.940229200 | RAM (MB): 23 | CPU Load: -1.0
2025-11-28T19:00:33.945410100 | RAM (MB): 24 | CPU Load: -1.0
2025-11-28T19:00:35.937546500 | RAM (MB): 24 | CPU Load: -1.0
2025-11-28T19:00:37.939925400 | RAM (MB): 25 | CPU Load: -1.0
2025-11-28T19:00:39.939150200 | RAM (MB): 25 | CPU Load: -1.0
2025-11-28T19:00:41.938573900 | RAM (MB): 26 | CPU Load: -1.0
2025-11-28T19:00:43.944559100 | RAM (MB): 27 | CPU Load: -1.0
2025-11-28T19:00:45.945401100 | RAM (MB): 27 | CPU Load: -1.0
2025-11-28T19:00:47.945249400 | RAM (MB): 28 | CPU Load: -1.0
2025-11-28T19:00:49.938000400 | RAM (MB): 28 | CPU Load: -1.0
2025-11-28T19:00:51.936057700 | RAM (MB): 29 | CPU Load: -1.0
2025-11-28T19:00:53.935520800 | RAM (MB): 29 | CPU Load: -1.0
2025-11-28T19:00:55.938313800 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T19:00:57.941720100 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T19:00:59.938494 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T19:02:42.214160500 | RAM (MB): 24 | CPU Load: -1.0
2025-11-28T19:02:44.191008 | RAM (MB): 24 | CPU Load: -1.0
2025-11-28T19:02:46.189088900 | RAM (MB): 26 | CPU Load: -1.0
2025-11-28T19:02:48.188429300 | RAM (MB): 26 | CPU Load: -1.0
2025-11-28T19:02:50.198194 | RAM (MB): 27 | CPU Load: -1.0
2025-11-28T19:02:52.205457800 | RAM (MB): 27 | CPU Load: -1.0
2025-11-28T19:02:54.199712200 | RAM (MB): 27 | CPU Load: -1.0
2025-11-28T19:02:56.191695800 | RAM (MB): 29 | CPU Load: -1.0
2025-11-28T19:02:58.191781500 | RAM (MB): 29 | CPU Load: -1.0
2025-11-28T19:03:00.191804800 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T19:03:02.195129600 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T19:03:04.187022100 | RAM (MB): 32 | CPU Load: -1.0
2025-11-28T19:03:54.776601100 | RAM (MB): 22 | CPU Load: -1.0
2025-11-28T19:03:56.755474800 | RAM (MB): 22 | CPU Load: -1.0
2025-11-28T19:03:58.753117700 | RAM (MB): 26 | CPU Load: -1.0
2025-11-28T19:04:00.759349 | RAM (MB): 26 | CPU Load: -1.0
2025-11-28T19:04:02.757936300 | RAM (MB): 26 | CPU Load: -1.0
2025-11-28T19:04:04.758707600 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T19:04:06.756002 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T19:04:08.755103400 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T19:04:10.755598200 | RAM (MB): 31 | CPU Load: -1.0
2025-11-28T19:04:12.755147400 | RAM (MB): 32 | CPU Load: -1.0
2025-11-28T19:04:14.755602 | RAM (MB): 32 | CPU Load: -1.0
2025-11-28T19:04:16.759145900 | RAM (MB): 33 | CPU Load: -1.0
2025-11-28T19:04:18.765402200 | RAM (MB): 34 | CPU Load: -1.0
2025-11-28T19:04:20.759412400 | RAM (MB): 34 | CPU Load: -1.0
2025-11-28T19:04:22.767120100 | RAM (MB): 35 | CPU Load: -1.0
2025-11-28T19:04:24.755462300 | RAM (MB): 35 | CPU Load: -1.0
2025-11-28T19:04:26.765214900 | RAM (MB): 35 | CPU Load: -1.0
2025-11-28T19:04:28.760401 | RAM (MB): 36 | CPU Load: -1.0
2025-11-28T19:04:30.755199800 | RAM (MB): 37 | CPU Load: -1.0
2025-11-28T19:04:32.757542100 | RAM (MB): 38 | CPU Load: -1.0
2025-11-28T19:04:34.775340400 | RAM (MB): 38 | CPU Load: -1.0
2025-11-28T19:04:36.755784700 | RAM (MB): 38 | CPU Load: -1.0
2025-11-28T19:04:38.760456600 | RAM (MB): 39 | CPU Load: -1.0
2025-11-28T19:04:40.756017100 | RAM (MB): 39 | CPU Load: -1.0
2025-11-28T19:04:42.772742800 | RAM (MB): 16 | CPU Load: -1.0
2025-11-28T19:04:44.755406400 | RAM (MB): 17 | CPU Load: -1.0
2025-11-28T19:04:46.765861500 | RAM (MB): 17 | CPU Load: -1.0
2025-11-28T19:04:48.755400300 | RAM (MB): 18 | CPU Load: -1.0
2025-11-28T19:04:50.755982700 | RAM (MB): 16 | CPU Load: -1.0
2025-11-28T19:04:52.755098600 | RAM (MB): 17 | CPU Load: -1.0
2025-11-28T19:12:38.665787900 | RAM (MB): 15 | CPU Load: -1.0
2025-11-28T19:12:40.605953900 | RAM (MB): 17 | CPU Load: -1.0
2025-11-28T19:12:42.616629400 | RAM (MB): 23 | CPU Load: -1.0
2025-11-28T19:12:44.605122900 | RAM (MB): 24 | CPU Load: -1.0
2025-11-28T19:12:46.609929400 | RAM (MB): 25 | CPU Load: -1.0
2025-11-28T19:12:48.615236800 | RAM (MB): 26 | CPU Load: -1.0
2025-11-28T19:12:50.616778100 | RAM (MB): 29 | CPU Load: -1.0
2025-11-28T19:12:52.614665200 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T19:12:54.615025400 | RAM (MB): 30 | CPU Load: -1.0
2025-11-28T19:12:56.607552 | RAM (MB): 34 | CPU Load: -1.0
2025-11-28T19:12:58.618517900 | RAM (MB): 34 | CPU Load: -1.0
2025-11-28T19:13:00.609390300 | RAM (MB): 36 | CPU Load: -1.0
2025-11-28T19:13:02.608737600 | RAM (MB): 36 | CPU Load: -1.0
2025-11-28T19:13:04.610235400 | RAM (MB): 36 | CPU Load: -1.0
